timestamp,distance,strength,temperature
2024-12-02 17:14:29,248,2143,52.0
2024-12-02 17:14:29,247,2142,52.0
2024-12-02 17:14:29,248,2142,52.0
2024-12-02 17:14:29,247,2140,52.0
2024-12-02 17:14:30,247,2147,52.0
2024-12-02 17:14:30,20,3933,52.0
2024-12-02 17:14:30,18,1547,52.0
2024-12-02 17:14:30,16,1450,52.0
2024-12-02 17:14:30,15,1556,52.0
2024-12-02 17:14:30,17,1778,52.0
2024-12-02 17:14:30,22,2659,52.0
2024-12-02 17:14:30,33,1982,52.0
2024-12-02 17:14:30,45,4666,52.0
2024-12-02 17:14:31,247,2073,52.0
2024-12-02 17:14:31,248,2142,52.0
2024-12-02 17:14:31,248,2140,52.0
2024-12-02 17:14:31,248,2136,52.0
2024-12-02 17:14:31,248,2139,52.0
2024-12-02 17:14:31,247,2133,52.0
2024-12-02 17:14:31,62,3634,52.0
2024-12-02 17:14:31,45,6298,52.0
2024-12-02 17:14:31,31,9906,52.0
2024-12-02 17:14:31,18,1465,52.0
2024-12-02 17:14:32,7,1561,52.0
2024-12-02 17:14:32,3,1021,52.0
2024-12-02 17:14:32,5,1343,52.0
2024-12-02 17:14:32,14,1252,52.0
2024-12-02 17:14:32,22,1930,52.0
2024-12-02 17:14:32,35,1723,52.0
2024-12-02 17:14:32,59,3976,52.0
2024-12-02 17:14:32,89,1951,52.0
2024-12-02 17:14:32,247,2142,52.0
2024-12-02 17:14:33,248,2143,52.0
2024-12-02 17:14:33,248,2137,52.0
2024-12-02 17:14:33,249,2138,52.0
2024-12-02 17:14:33,248,2025,52.0
2024-12-02 17:14:33,57,4467,52.0
2024-12-02 17:14:33,42,7606,52.0
2024-12-02 17:14:33,29,12739,52.0
2024-12-02 17:14:33,21,2229,52.0
2024-12-02 17:14:33,15,1456,52.0
2024-12-02 17:14:34,13,1270,52.0
2024-12-02 17:14:34,16,1261,52.0
2024-12-02 17:14:34,21,1790,52.0
2024-12-02 17:14:34,29,1874,52.0
2024-12-02 17:14:34,37,1507,52.0
2024-12-02 17:14:34,49,5328,52.0
2024-12-02 17:14:34,62,3304,52.0
2024-12-02 17:14:34,248,2145,52.0
2024-12-02 17:14:34,248,2144,52.0
2024-12-02 17:14:35,247,2139,52.0
2024-12-02 17:14:35,248,2146,52.0
2024-12-02 17:14:35,248,2140,52.0
2024-12-02 17:14:35,90,2288,52.0
2024-12-02 17:14:35,47,5851,52.0
2024-12-02 17:14:35,37,8405,52.0
2024-12-02 17:14:35,26,2525,52.0
2024-12-02 17:14:35,22,2102,52.0
2024-12-02 17:14:35,18,1515,52.0
2024-12-02 17:14:35,18,1348,52.0
2024-12-02 17:14:36,23,2561,52.0
2024-12-02 17:14:36,30,2263,52.0
2024-12-02 17:14:36,42,1305,52.0
2024-12-02 17:14:36,62,2486,52.0
2024-12-02 17:14:36,248,2144,52.0
2024-12-02 17:14:36,248,2143,52.0
2024-12-02 17:14:36,248,2140,52.0
2024-12-02 17:14:36,248,2142,52.0
2024-12-02 17:14:36,247,2135,52.0
2024-12-02 17:14:37,55,4484,52.0
